iter	Passed	Remaining
0	13	8532
1	26	8502
2	39	8439
3	52	8428
4	65	8398
5	78	8390
6	90	8294
7	102	8233
8	114	8145
9	126	8126
10	138	8055
11	151	8028
12	162	7960
13	174	7941
14	186	7902
15	199	7900
16	210	7848
17	222	7809
18	235	7829
19	246	7776
20	258	7748
21	271	7751
22	283	7720
23	295	7704
24	307	7685
25	319	7670
26	331	7648
27	343	7630
28	356	7639
29	367	7599
30	379	7571
31	391	7557
32	403	7536
33	414	7516
34	427	7508
35	438	7481
36	450	7465
37	462	7452
38	474	7429
39	485	7402
40	496	7379
41	509	7374
42	520	7346
43	532	7337
44	544	7317
45	557	7319
46	569	7305
47	580	7283
48	593	7276
49	605	7261
50	616	7242
51	629	7238
52	642	7233
53	654	7225
54	666	7214
55	678	7199
56	690	7188
57	703	7183
58	714	7162
59	725	7134
60	736	7115
61	749	7103
62	761	7092
63	772	7071
64	782	7045
65	794	7030
66	806	7017
67	818	7008
68	831	7000
69	844	6998
70	857	6992
71	868	6974
72	880	6960
73	893	6956
74	905	6941
75	921	6957
76	934	6954
77	947	6946
78	961	6949
79	973	6939
80	986	6932
81	997	6911
82	1012	6917
83	1024	6900
84	1037	6894
85	1050	6888
86	1061	6871
87	1073	6853
88	1085	6841
89	1097	6830
90	1109	6815
91	1120	6794
92	1132	6782
93	1143	6764
94	1156	6757
95	1168	6743
96	1180	6730
97	1191	6712
98	1203	6696
99	1214	6679
100	1226	6668
101	1238	6651
102	1249	6634
103	1261	6622
104	1273	6611
105	1284	6593
106	1296	6581
107	1310	6576
108	1321	6560
109	1333	6547
110	1346	6539
111	1358	6523
112	1371	6515
113	1382	6498
114	1395	6490
115	1408	6483
116	1419	6468
117	1431	6455
118	1444	6447
119	1454	6426
120	1467	6416
121	1479	6403
122	1491	6390
123	1503	6379
124	1515	6364
125	1526	6347
126	1537	6333
127	1550	6324
128	1562	6312
129	1575	6303
130	1588	6293
131	1600	6280
132	1612	6268
133	1626	6261
134	1637	6245
135	1648	6231
136	1661	6221
137	1673	6208
138	1685	6197
139	1697	6182
140	1710	6174
141	1721	6159
142	1733	6146
143	1745	6134
144	1759	6126
145	1772	6117
146	1783	6102
147	1795	6089
148	1807	6078
149	1820	6067
150	1832	6054
151	1844	6043
152	1856	6029
153	1867	6015
154	1879	6002
155	1892	5993
156	1905	5982
157	1917	5972
158	1930	5962
159	1942	5949
160	1955	5940
161	1968	5928
162	1980	5915
163	1992	5903
164	2003	5887
165	2014	5874
166	2027	5863
167	2037	5846
168	2049	5832
169	2061	5822
170	2074	5809
171	2087	5800
172	2099	5788
173	2111	5777
174	2124	5765
175	2137	5755
176	2148	5741
177	2160	5729
178	2171	5714
179	2182	5699
180	2194	5685
181	2207	5675
182	2218	5661
183	2229	5646
184	2241	5633
185	2253	5621
186	2265	5609
187	2278	5600
188	2291	5589
189	2303	5577
190	2315	5564
191	2328	5554
192	2342	5545
193	2354	5535
194	2366	5521
195	2378	5509
196	2390	5496
197	2401	5482
198	2413	5468
199	2425	5456
200	2436	5443
201	2448	5430
202	2461	5419
203	2472	5405
204	2484	5392
205	2496	5380
206	2507	5366
207	2521	5357
208	2533	5346
209	2546	5335
210	2558	5323
211	2570	5309
212	2583	5300
213	2596	5290
214	2608	5277
215	2621	5266
216	2632	5253
217	2645	5243
218	2656	5229
219	2669	5217
220	2681	5205
221	2694	5194
222	2705	5180
223	2717	5168
224	2730	5157
225	2741	5143
226	2753	5131
227	2765	5119
228	2778	5107
229	2790	5094
230	2801	5081
231	2812	5067
232	2826	5058
233	2838	5045
234	2849	5032
235	2861	5018
236	2873	5007
237	2885	4995
238	2897	4982
239	2910	4971
240	2921	4958
241	2933	4945
242	2946	4935
243	2959	4924
244	2972	4914
245	2986	4903
246	2997	4890
247	3009	4877
248	3019	4863
249	3033	4853
250	3045	4840
251	3057	4829
252	3070	4817
253	3084	4808
254	3097	4797
255	3109	4786
256	3122	4775
257	3135	4764
258	3148	4752
259	3160	4740
260	3173	4729
261	3185	4717
262	3197	4704
263	3208	4691
264	3220	4679
265	3233	4668
266	3245	4655
267	3257	4643
268	3269	4631
269	3281	4618
270	3294	4607
271	3306	4594
272	3318	4582
273	3331	4571
274	3343	4558
275	3354	4545
276	3366	4533
277	3378	4520
278	3389	4507
279	3400	4493
280	3412	4480
281	3423	4467
282	3436	4456
283	3447	4442
284	3460	4432
285	3472	4419
286	3483	4406
287	3495	4393
288	3507	4381
289	3520	4369
290	3532	4358
291	3545	4347
292	3559	4336
293	3571	4324
294	3582	4311
295	3594	4298
296	3606	4286
297	3619	4275
298	3630	4261
299	3642	4249
300	3653	4235
301	3665	4223
302	3676	4209
303	3686	4196
304	3698	4183
305	3709	4170
306	3721	4158
307	3734	4146
308	3747	4135
309	3758	4122
