iter	Logloss
0	0.6344076708
1	0.5857981327
2	0.5450764158
3	0.5112168357
4	0.4826274707
5	0.4577961235
6	0.4365364881
7	0.4183206987
8	0.4021941566
9	0.3882647223
10	0.3761616049
11	0.3656093962
12	0.3567165398
13	0.3490182406
14	0.3419078555
15	0.3355526409
16	0.3301345485
17	0.3252010432
18	0.3208371656
19	0.3169828027
20	0.3134865641
21	0.3104544192
22	0.3080273756
23	0.3057016505
24	0.3036127561
25	0.3016942641
26	0.3000126387
27	0.298452626
28	0.2971303034
29	0.2958879853
30	0.2948932044
31	0.2939728405
32	0.2931030294
33	0.2923889311
34	0.2916532251
35	0.2910000996
36	0.2905556746
37	0.2900360168
38	0.2895673494
39	0.2892211278
40	0.2888340661
41	0.2885274527
42	0.2882375988
43	0.287974313
44	0.2878094583
45	0.2876283542
46	0.287420124
47	0.2872498577
48	0.287083879
49	0.2869392258
50	0.2868144004
51	0.2867468117
52	0.286699764
53	0.2865989745
54	0.286531831
55	0.286524496
56	0.2864400786
57	0.286362239
58	0.2862963155
59	0.286281496
60	0.2862283882
61	0.2861747123
62	0.2861565741
63	0.2861110523
64	0.2860735624
65	0.2860377243
66	0.2860115915
67	0.2859868315
68	0.2859817455
69	0.285977931
