iter	Passed	Remaining
0	11	1175
1	20	990
2	31	1016
3	40	968
4	47	908
5	56	883
6	64	857
7	73	849
8	80	818
9	89	805
10	96	781
11	105	772
12	113	757
13	121	747
14	130	741
15	140	735
16	148	723
17	156	711
18	164	702
19	174	699
20	183	691
21	192	680
22	200	670
23	209	662
24	217	651
25	227	646
26	235	636
27	243	627
28	251	615
29	259	605
30	267	594
31	275	585
32	283	575
33	291	565
34	299	556
35	308	548
36	316	538
37	326	533
38	335	525
39	344	516
40	352	507
41	359	496
42	366	486
43	375	477
44	383	468
45	391	459
46	398	449
47	406	440
48	414	431
49	422	422
50	429	412
51	438	405
52	446	396
53	454	387
54	462	378
55	470	369
56	478	360
57	486	352
58	493	342
59	501	334
60	509	325
61	517	317
62	526	308
63	534	300
64	542	291
65	550	283
66	557	274
67	565	266
68	573	257
69	581	249
70	588	240
71	596	232
72	605	223
73	612	215
74	620	206
75	628	198
76	638	190
77	647	182
78	655	174
79	662	165
80	672	157
81	680	149
82	688	140
83	696	132
84	704	124
85	711	115
86	719	107
87	726	99
88	736	91
89	744	82
90	752	74
91	760	66
92	769	57
93	776	49
94	784	41
95	791	32
96	800	24
97	808	16
98	816	8
99	824	0
