iter	Passed	Remaining
0	6	2917
1	11	2592
2	17	2578
3	22	2538
4	28	2513
5	33	2473
6	38	2440
7	44	2455
8	50	2468
9	56	2470
10	62	2474
11	67	2478
12	73	2474
13	79	2480
14	85	2478
15	91	2479
16	97	2491
17	104	2497
18	110	2499
19	116	2497
20	122	2499
21	127	2487
22	133	2469
23	138	2455
24	143	2434
25	148	2419
26	153	2397
27	157	2378
28	162	2362
29	168	2356
30	173	2343
31	178	2330
32	183	2319
33	188	2306
34	193	2294
35	198	2286
36	203	2273
37	209	2270
38	214	2262
39	220	2255
40	225	2250
41	230	2241
42	236	2234
43	241	2224
44	246	2214
45	250	2201
46	255	2194
47	260	2184
48	265	2175
49	271	2170
50	277	2167
51	282	2160
52	288	2157
53	293	2149
54	298	2144
55	303	2136
56	308	2127
57	313	2118
58	318	2109
59	323	2101
60	328	2092
61	332	2082
62	337	2075
63	342	2066
64	347	2056
65	352	2049
66	357	2041
67	362	2036
68	367	2029
69	372	2022
70	377	2015
71	382	2006
72	386	1998
73	391	1990
74	396	1982
75	401	1974
76	406	1969
77	412	1965
78	417	1962
79	423	1958
80	429	1955
81	434	1950
82	439	1944
83	445	1940
84	450	1933
85	455	1927
86	461	1924
87	466	1920
88	472	1917
89	477	1911
90	483	1906
91	488	1900
92	493	1895
93	499	1889
94	504	1884
95	509	1879
96	515	1874
97	520	1871
98	526	1867
99	532	1863
100	538	1859
101	544	1856
102	549	1851
103	555	1846
104	560	1841
105	566	1837
106	571	1832
107	577	1828
108	582	1822
109	588	1818
110	593	1813
111	599	1808
112	605	1805
113	610	1800
114	616	1795
115	622	1791
116	627	1786
117	633	1783
118	639	1778
119	645	1773
120	650	1767
121	655	1761
122	660	1756
123	665	1749
124	670	1743
125	675	1736
126	679	1729
127	684	1722
128	689	1715
129	694	1709
130	699	1703
131	704	1697
132	709	1691
133	715	1686
134	720	1680
135	725	1674
136	730	1669
137	736	1664
138	741	1658
139	746	1652
140	751	1647
141	759	1647
142	769	1652
143	782	1661
144	793	1670
145	805	1677
146	812	1673
147	817	1668
148	823	1663
149	829	1658
150	834	1653
151	839	1646
152	844	1640
153	850	1634
154	855	1628
155	860	1622
156	865	1615
157	870	1608
158	875	1602
159	881	1597
160	886	1591
161	891	1585
162	896	1578
163	901	1571
164	906	1565
165	911	1559
166	916	1553
167	921	1546
168	926	1541
169	931	1534
170	937	1528
171	942	1522
172	947	1517
173	952	1510
174	957	1504
175	962	1498
176	967	1492
177	972	1486
178	978	1481
179	983	1474
180	988	1469
181	994	1463
182	999	1457
183	1004	1451
184	1009	1446
185	1015	1441
186	1020	1435
187	1025	1429
188	1031	1424
189	1036	1418
190	1041	1412
191	1047	1407
192	1052	1401
193	1057	1395
194	1062	1389
195	1067	1383
196	1072	1377
197	1077	1371
198	1083	1366
199	1088	1360
200	1094	1355
