iter	Passed	Remaining
0	33	13430
1	63	12623
2	94	12471
3	127	12638
4	160	12676
5	195	12864
6	227	12789
7	260	12778
8	293	12766
9	324	12665
10	352	12465
11	386	12498
12	413	12308
13	441	12172
14	471	12105
15	505	12125
16	536	12082
17	565	12000
18	594	11911
19	624	11865
20	652	11769
21	681	11703
22	711	11668
23	740	11605
24	770	11561
25	802	11537
26	830	11479
27	860	11428
28	888	11363
29	918	11324
30	949	11303
31	980	11277
32	1010	11236
33	1041	11206
34	1069	11155
35	1100	11124
36	1128	11067
37	1161	11068
38	1191	11025
39	1223	11015
40	1255	10990
41	1283	10942
42	1314	10916
43	1341	10853
44	1368	10799
45	1398	10759
46	1426	10712
47	1453	10655
48	1481	10612
49	1512	10584
50	1543	10563
51	1571	10518
52	1597	10462
53	1626	10419
54	1655	10386
55	1683	10343
56	1710	10292
57	1738	10251
58	1765	10205
59	1793	10163
60	1822	10127
61	1850	10089
62	1877	10041
63	1904	9999
64	1932	9959
65	1962	9932
66	1990	9895
67	2020	9866
68	2048	9826
69	2076	9789
70	2102	9743
71	2128	9697
72	2158	9668
73	2183	9618
74	2211	9582
75	2239	9549
76	2270	9524
77	2298	9489
78	2325	9450
79	2352	9411
80	2378	9368
81	2407	9337
82	2434	9297
83	2460	9256
84	2490	9227
85	2517	9193
86	2546	9162
87	2575	9133
88	2603	9096
89	2631	9065
90	2659	9030
91	2687	8998
92	2718	8973
93	2747	8944
94	2777	8917
95	2803	8878
96	2832	8847
97	2861	8818
98	2889	8784
99	2915	8746
100	2944	8717
101	2970	8679
102	3000	8651
103	3028	8620
104	3056	8586
105	3084	8554
106	3111	8519
107	3137	8481
108	3170	8464
109	3198	8432
110	3226	8401
111	3255	8370
112	3281	8334
113	3306	8296
114	3335	8265
115	3364	8236
116	3392	8206
117	3420	8173
118	3448	8142
119	3476	8111
120	3508	8089
121	3537	8060
122	3566	8032
123	3595	8003
124	3626	7978
125	3654	7946
126	3679	7908
127	3707	7877
128	3735	7848
129	3765	7820
130	3792	7787
131	3821	7759
132	3852	7733
133	3879	7700
134	3905	7666
135	3934	7637
136	3963	7609
137	3988	7572
138	4016	7542
139	4045	7513
140	4075	7486
141	4103	7455
142	4131	7425
143	4159	7394
144	4184	7359
145	4211	7327
146	4239	7296
147	4268	7267
148	4296	7237
149	4325	7208
150	4354	7179
151	4381	7148
152	4406	7113
153	4431	7078
154	4460	7049
155	4490	7023
156	4522	6999
157	4552	6973
158	4579	6940
159	4608	6913
160	4638	6886
161	4668	6858
162	4696	6829
163	4724	6798
164	4753	6770
165	4779	6737
166	4808	6709
167	4836	6678
168	4867	6652
169	4898	6627
170	4937	6611
171	4990	6614
172	5026	6594
173	5053	6563
174	5082	6534
175	5110	6504
176	5138	6473
177	5168	6445
178	5197	6417
179	5224	6385
180	5250	6352
181	5278	6323
182	5305	6291
183	5331	6258
184	5357	6225
185	5386	6197
186	5413	6165
187	5439	6133
188	5467	6103
189	5494	6072
190	5525	6045
191	5552	6014
192	5580	5985
193	5609	5956
194	5637	5926
195	5665	5897
